J0248+4230_500_200_2048_2.15nov2k19.raw0.new_dm_PSR_0248+4230.pfd                    58802.567966790491  PA  17
J0248+4230_500_200_2048_2.15nov2k19.raw0.new_freq_PSR_0248+4230.pfd                    58802.567966790491  PA  17
J0248+4230_500_200_2048_2.15nov2k19.raw0_PSR_0248+4230.pfd                    58802.567966790491  PA  17
J0248+4230_500_200_2048_2.22nov2k19.raw0.new_dm_PSR_0248+4230.pfd                    58809.557853898841  PA  18
J0248+4230_500_200_2048_2.22nov2k19.raw0.new_freq_PSR_0248+4230.pfd                    58809.557853898841   PA  18
J0248+4230_500_200_2048_2.22nov2k19.raw0_PSR_0248+4230.pfd                    58809.557853898841   PA  18
J0248+4230_500_200_2048_2.29dec2k19.raw0.new_dm_PSR_0248+4230.pfd                    58846.478679767199  PA 16
J0248+4230_500_200_2048_2.29dec2k19.raw0.new_freq.64_PSR_0248+4230.pfd                    58846.478679767199
J0248+4230_500_200_2048_2.29dec2k19.raw0.new_freq.gptool.64_PSR_0248+4230.pfd                    58846.478679767199
J0248+4230_500_200_2048_2.29dec2k19.raw0.new_freq.gptool_PSR_0248+4230.pfd                    58846.478679767199
J0248+4230_500_200_2048_2.29dec2k19.raw0.new_freq_PSR_0248+4230.pfd                    58846.478679767199
J0248+4230_500_200_2048_2.29dec2k19.raw0_PSR_0248+4230.pfd                    58846.478679767199
J0248+4230_500_200_2048_2.4nov2k19.raw0.new_dm_PSR_0248+4230.pfd                    58791.636038352917
J0248+4230_500_200_2048_2.4nov2k19.raw0.new_freq_PSR_0248+4230.pfd                    58791.636038352917
J0248+4230_500_200_2048_2.4nov2k19.raw0_PSR_0248+4230.pfd                    58791.636038352917
J0248+4230_500_200_4096_4.07nov2024.raw0.new_freq.gptool_PSR_0248+4230.pfd                    60621.598509674339
J0248+4230_500_200_4096_4.18apr2025.raw0.new_freq.gptool_PSR_0248+4230.pfd                    60783.141781793776
J0248+4230_500_200_4096_4.23jun2025.raw0.new_freq.gptool_PSR_0248+4230.pfd                    60848.979458697424
J0248+4230_500_200_4096_4.23mar2025.raw0.new_freq.gptool_PSR_0248+4230.pfd                    60757.219786711437
J0248+4230_500_200_4096_4.30jul2024.raw0.new_freq.gptool_PSR_0248+4230.pfd                    60520.859326659345
J0248+4230_pa_500_200_4096_4_1_8_01feb2021.raw.gptool_PSR_0248+4230.pfd                    59246.395865201601
J0248+4230_pa_500_200_4096_4_1_8_01feb2021.raw_PSR_0248+4230.pfd                    59246.395865201601
J0248+4230_pa_500_200_4096_4_1_8_01sep2022.raw.new_freq.gptool_PSR_0248+4230.pfd                    59822.827027040228
J0248+4230_pa_500_200_4096_4_1_8_02aug2022.raw.new_freq.gptool_PSR_0248+4230.pfd                    59792.877283265923
J0248+4230_pa_500_200_4096_4_1_8_03aug2021.raw.64_PSR_0248+4230.pfd                    59428.884927916355
J0248+4230_pa_500_200_4096_4_1_8_03aug2021.raw.gptool_PSR_0248+4230.pfd                    59428.884927916355
J0248+4230_pa_500_200_4096_4_1_8_03aug2021.raw_PSR_0248+4230.pfd                    59428.884927916355
J0248+4230_pa_500_200_4096_4_1_8_03jan2022.raw.gptool_PSR_0248+4230.pfd                    59582.439482554742
J0248+4230_pa_500_200_4096_4_1_8_03jan2022.raw_PSR_0248+4230.pfd                    59582.439482554742
J0248+4230_pa_500_200_4096_4_1_8_04sep2023.raw.new_freq.gptool_PSR_0248+4230.pfd                    60191.724669410134
J0248+4230_pa_500_200_4096_4_1_8_06jun2023.raw_PSR_0248+4230.pfd                    60100.990972534106
J0248+4230_pa_500_200_4096_4_1_8_07jun2017.raw_PSR_0248+4230.pfd                    57911.036175174071
J0248+4230_pa_500_200_4096_4_1_8_11may2021.raw.new_freq.gptool_PSR_0248+4230.pfd                    59345.092351494401
J0248+4230_pa_500_200_4096_4_1_8_11sep2021.raw.new_freq.gptool_PSR_0248+4230.pfd                    59468.737845760348
J0248+4230_pa_500_200_4096_4_1_8_12sep2022.raw.new_freq.gptool_PSR_0248+4230.pfd                    59834.764851533029
J0248+4230_pa_500_200_4096_4_1_8_13mar2021.raw.gptool_PSR_0248+4230.pfd                    59286.287966870186
J0248+4230_pa_500_200_4096_4_1_8_13mar2021.raw_PSR_0248+4230.pfd                    59286.287966870186
J0248+4230_pa_500_200_4096_4_1_8_15dec2017.raw.32_PSR_0248+4230.pfd                    58102.536594612560
J0248+4230_pa_500_200_4096_4_1_8_15dec2017.raw.gptool.32_PSR_0248+4230.pfd                    58102.536594612560
J0248+4230_pa_500_200_4096_4_1_8_15dec2017.raw.gptool_PSR_0248+4230.pfd                    58102.536594612560
J0248+4230_pa_500_200_4096_4_1_8_15dec2017.raw_PSR_0248+4230.pfd                    58102.536582965222
J0248+4230_pa_500_200_4096_4_1_8_15nov2020.raw.gptool_PSR_0248+4230.pfd                    59168.584670398981
J0248+4230_pa_500_200_4096_4_1_8_15nov2020.raw_PSR_0248+4230.pfd                    59168.584670398981
J0248+4230_pa_500_200_4096_4_1_8_17oct2017.raw.32_PSR_0248+4230.pfd                    58043.757421668342
J0248+4230_pa_500_200_4096_4_1_8_17oct2017.raw.gptool.32_PSR_0248+4230.pfd                    58043.757421668342
J0248+4230_pa_500_200_4096_4_1_8_17oct2017.raw.gptool_PSR_0248+4230.pfd                    58043.757421668342
J0248+4230_pa_500_200_4096_4_1_8_17oct2017.raw_PSR_0248+4230.pfd                    58043.757410017424
J0248+4230_pa_500_200_4096_4_1_8_23jul2023.raw.new_freq.gptool_PSR_0248+4230.pfd                    60147.868528667794
J0248+4230_pa_500_200_4096_4_1_8_24apr2022.raw.new_freq.gptool_PSR_0248+4230.pfd                    59693.119017529156
J0248+4230_pa_500_200_4096_4_1_8_27nov2017.raw.32_PSR_0248+4230.pfd                    58084.747286815102
J0248+4230_pa_500_200_4096_4_1_8_27nov2017.raw.gptool.32_PSR_0248+4230.pfd                    58084.747286815102
J0248+4230_pa_500_200_4096_4_1_8_27nov2017.raw.gptool_PSR_0248+4230.pfd                    58084.747286815102
J0248+4230_pa_500_200_4096_4_1_8_27nov2017.raw_PSR_0248+4230.pfd                    58084.747275167043
J0248+4230_pa_500_200_4096_4_1_8_27oct2023.raw.new_freq.gptool_PSR_0248+4230.pfd                    60244.606813730250
J0248+4230_pa_500_200_4096_4_1_8_28dec2020.raw.new_freq.gptool_PSR_0248+4230.pfd                    59211.463028881328
J0248+4230_pa_500_200_4096_4_1_8_28jun2021.raw.gptool_PSR_0248+4230.pfd                    59392.956473156439
J0248+4230_pa_500_200_4096_4_1_8_28jun2021.raw_PSR_0248+4230.pfd                    59392.956473156439
J0248+4230_pa_500_200_4096_4_1_8_28may2022.raw.new_freq.gptool_PSR_0248+4230.pfd                    59727.035320469353
J0248+4230_pa_500_200_4096_4_1_8_28nov2020.raw.gptool_PSR_0248+4230.pfd                    59181.539115818370
J0248+4230_pa_500_200_4096_4_1_8_28nov2020.raw_PSR_0248+4230.pfd                    59181.539115818370
